[0.007s][info][gc] Using Concurrent Mark Sweep
[3.823s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.823s][info ][safepoint    ] Leaving safepoint region
[3.823s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001778 seconds, Stopping threads took: 0.0001131 seconds
[3.823s][info ][safepoint    ] Application time: 0.0002523 seconds
[3.823s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.823s][info ][safepoint    ] Leaving safepoint region
[3.823s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001487 seconds, Stopping threads took: 0.0000814 seconds
[3.824s][info ][safepoint    ] Application time: 0.0002685 seconds
[3.824s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.824s][info ][safepoint    ] Leaving safepoint region
[3.824s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001305 seconds, Stopping threads took: 0.0000784 seconds
[3.824s][info ][safepoint    ] Application time: 0.0001532 seconds
[3.824s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.824s][info ][safepoint    ] Leaving safepoint region
[3.824s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002355 seconds, Stopping threads took: 0.0001541 seconds
[3.825s][info ][safepoint    ] Application time: 0.0004341 seconds
[3.825s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.825s][info ][safepoint    ] Leaving safepoint region
[3.825s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000706 seconds, Stopping threads took: 0.0000276 seconds
[3.825s][info ][safepoint    ] Application time: 0.0005858 seconds
[3.825s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.825s][info ][safepoint    ] Leaving safepoint region
[3.825s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000777 seconds, Stopping threads took: 0.0000212 seconds
[3.826s][info ][safepoint    ] Application time: 0.0004902 seconds
[3.826s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.826s][info ][safepoint    ] Leaving safepoint region
